ISim log file
Running: /home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft_isim_beh.wdb 
ISim P.58f (signature 0xfbc00daa)
This is a Full version of ISim.
WARNING: File "/home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft.v" Line 34.  For instance tb_fft/uut/, width 8 of formal port s_axis_config_tdata is not equal to width 16 of actual variable s_axis_config_tdata. 
WARNING: File "/home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft.v" Line 50.  For instance tb_fft/uut/, width 48 of formal port m_axis_data_tdata is not equal to width 32 of actual signal m_axis_data_tdata.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                 741 	 outReal	     2 	 outImage	 65280
                 743 	 outReal	     2 	 outImage	  2304
                 745 	 outReal	     7 	 outImage	 61440
                 747 	 outReal	     3 	 outImage	 65024
                 749 	 outReal	     2 	 outImage	   768
                 751 	 outReal	     4 	 outImage	   768
                 753 	 outReal	     4 	 outImage	   256
                 755 	 outReal	     0 	 outImage	   768
                 757 	 outReal	 65534 	 outImage	   255
                 759 	 outReal	    46 	 outImage	 49152
                 761 	 outReal	    21 	 outImage	 47872
                 763 	 outReal	     1 	 outImage	   256
                 765 	 outReal	     6 	 outImage	     0
                 767 	 outReal	     0 	 outImage	     0
                 769 	 outReal	     3 	 outImage	 65024
                 771 	 outReal	     5 	 outImage	     0
                 773 	 outReal	 65529 	 outImage	 64511
                 775 	 outReal	    19 	 outImage	  8960
                 777 	 outReal	     9 	 outImage	 63232
                 779 	 outReal	     1 	 outImage	   768
                 781 	 outReal	     1 	 outImage	   256
                 783 	 outReal	     9 	 outImage	  2304
                 785 	 outReal	     8 	 outImage	   256
                 787 	 outReal	     6 	 outImage	   256
                 789 	 outReal	 65535 	 outImage	   255
                 791 	 outReal	 65199 	 outImage	  4863
                 793 	 outReal	 16256 	 outImage	     0
                 795 	 outReal	     0 	 outImage	     0
                 797 	 outReal	     0 	 outImage	     0
                 799 	 outReal	     0 	 outImage	     0
                 801 	 outReal	     0 	 outImage	     0
                 803 	 outReal	     0 	 outImage	     0
                 805 	 outReal	     0 	 outImage	     0
                 807 	 outReal	     0 	 outImage	     0
                 809 	 outReal	     0 	 outImage	     0
                 811 	 outReal	     0 	 outImage	     0
                 813 	 outReal	     0 	 outImage	     0
                 815 	 outReal	     0 	 outImage	     0
                 817 	 outReal	     0 	 outImage	     0
                 819 	 outReal	     0 	 outImage	     0
                 821 	 outReal	     0 	 outImage	     0
                 823 	 outReal	     0 	 outImage	     0
                 825 	 outReal	     0 	 outImage	     0
                 827 	 outReal	     0 	 outImage	     0
                 829 	 outReal	     0 	 outImage	     0
                 831 	 outReal	     0 	 outImage	     0
                 833 	 outReal	     0 	 outImage	     0
                 835 	 outReal	     0 	 outImage	     0
                 837 	 outReal	     0 	 outImage	     0
                 839 	 outReal	     0 	 outImage	     0
                 841 	 outReal	     0 	 outImage	     0
                 843 	 outReal	     0 	 outImage	     0
                 845 	 outReal	     0 	 outImage	     0
                 847 	 outReal	     0 	 outImage	     0
                 849 	 outReal	     0 	 outImage	     0
                 851 	 outReal	     0 	 outImage	     0
                 853 	 outReal	     0 	 outImage	     0
                 855 	 outReal	     0 	 outImage	     0
                 857 	 outReal	     0 	 outImage	     0
                 859 	 outReal	     0 	 outImage	     0
                 861 	 outReal	     0 	 outImage	     0
                 863 	 outReal	     0 	 outImage	     0
                 865 	 outReal	     0 	 outImage	     0
                 867 	 outReal	     0 	 outImage	     0
                 869 	 outReal	     0 	 outImage	     0
                 871 	 outReal	     0 	 outImage	     0
                 873 	 outReal	     0 	 outImage	     0
                 875 	 outReal	     0 	 outImage	     0
                 877 	 outReal	     0 	 outImage	     0
                 879 	 outReal	     0 	 outImage	     0
                 881 	 outReal	     0 	 outImage	     0
                 883 	 outReal	     0 	 outImage	     0
                 885 	 outReal	     0 	 outImage	     0
                 887 	 outReal	     0 	 outImage	     0
                 889 	 outReal	     0 	 outImage	     0
                 891 	 outReal	     0 	 outImage	     0
                 893 	 outReal	     0 	 outImage	     0
                 895 	 outReal	     0 	 outImage	     0
                 897 	 outReal	     0 	 outImage	     0
                 899 	 outReal	     0 	 outImage	     0
                 901 	 outReal	     0 	 outImage	     0
                 903 	 outReal	     0 	 outImage	     0
                 905 	 outReal	     0 	 outImage	     0
                 907 	 outReal	     0 	 outImage	     0
                 909 	 outReal	     0 	 outImage	     0
                 911 	 outReal	     0 	 outImage	     0
                 913 	 outReal	     0 	 outImage	     0
                 915 	 outReal	     0 	 outImage	     0
                 917 	 outReal	     0 	 outImage	     0
                 919 	 outReal	     0 	 outImage	     0
                 921 	 outReal	     0 	 outImage	     0
                 923 	 outReal	     0 	 outImage	     0
                 925 	 outReal	     0 	 outImage	     0
                 927 	 outReal	     0 	 outImage	     0
                 929 	 outReal	     0 	 outImage	     0
                 931 	 outReal	     0 	 outImage	     0
                 933 	 outReal	     0 	 outImage	     0
                 935 	 outReal	     0 	 outImage	     0
                 937 	 outReal	     0 	 outImage	     0
                 939 	 outReal	     0 	 outImage	     0
                 941 	 outReal	     0 	 outImage	     0
                 943 	 outReal	     0 	 outImage	     0
                 945 	 outReal	     0 	 outImage	     0
                 947 	 outReal	     0 	 outImage	     0
                 949 	 outReal	     0 	 outImage	     0
                 951 	 outReal	     0 	 outImage	     0
                 953 	 outReal	     0 	 outImage	     0
                 955 	 outReal	     0 	 outImage	     0
                 957 	 outReal	     0 	 outImage	     0
                 959 	 outReal	     0 	 outImage	     0
                 961 	 outReal	     0 	 outImage	     0
                 963 	 outReal	     0 	 outImage	     0
                 965 	 outReal	     0 	 outImage	     0
                 967 	 outReal	     0 	 outImage	     0
                 969 	 outReal	     0 	 outImage	     0
                 971 	 outReal	     0 	 outImage	     0
                 973 	 outReal	     0 	 outImage	     0
                 975 	 outReal	     0 	 outImage	     0
                 977 	 outReal	     0 	 outImage	     0
                 979 	 outReal	     0 	 outImage	     0
                 981 	 outReal	     0 	 outImage	     0
                 983 	 outReal	     0 	 outImage	     0
                 985 	 outReal	     0 	 outImage	     0
                 987 	 outReal	     0 	 outImage	     0
                 989 	 outReal	     0 	 outImage	     0
                 991 	 outReal	     0 	 outImage	     0
                 993 	 outReal	     0 	 outImage	     0
                 995 	 outReal	     0 	 outImage	     0
                 997 	 outReal	     0 	 outImage	     0
                 999 	 outReal	     0 	 outImage	     0
